draw_date,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
1/1/2012,8,15,16,24,31,44552.19,113.5,10.5
1/2/2012,8,13,29,32,34,104183.87,152,12
1/3/2012,1,5,8,32,36,53479.88,148,10.5
1/4/2012,9,16,17,21,32,81217.41,106.5,10
1/5/2012,3,9,17,26,36,217594.58,96,9
1/6/2012,3,10,22,29,36,119675.34,114.5,10.5
1/7/2012,5,16,20,23,29,139916.48,118,10.5
1/8/2012,1,5,7,11,23,92266.07,54,6.5
1/9/2012,2,4,12,29,36,0,555,21
1/10/2012,9,16,25,26,32,108271.53,131.5,11
1/11/2012,3,7,8,12,30,122797.66,89.5,8
1/12/2012,1,2,13,20,26,72485.95,100.5,10
1/13/2012,1,5,12,16,22,48872.05,92.5,8.5
1/14/2012,6,11,21,31,34,93204.29,99,9.5
1/15/2012,2,8,12,13,30,182132.44,117.5,9.5
1/16/2012,8,9,20,23,36,50550.22,134,10
1/17/2012,15,16,18,23,24,69644.6,101.5,10
1/18/2012,2,7,9,14,23,60204.79,76.5,8
1/19/2012,11,18,22,29,30,212467.49,125.5,10.5
1/20/2012,4,14,16,21,36,78245.96,116,10
1/21/2012,8,27,33,34,35,275691.99,121,10.5
1/22/2012,8,9,10,14,32,90413.82,132.5,10.5
1/23/2012,1,14,21,29,30,205284.79,141,11.5
1/24/2012,14,15,17,25,32,0,555,23.5
1/25/2012,7,8,23,34,36,61330.55,136.5,10.5
1/26/2012,9,13,15,22,30,214032.99,123,10.5
1/27/2012,4,5,14,22,24,235547.3,94.5,9.5
1/28/2012,17,23,24,32,36,0,555,21
1/29/2012,3,6,18,27,34,92568.63,111,10.5
1/30/2012,1,6,18,28,35,208270.71,137.5,10.5
1/31/2012,3,10,15,28,29,71690.08,97.5,9.5
2/1/2012,6,19,24,32,36,85430.73,123,11
2/2/2012,2,7,19,27,32,74554.07,100.5,10
2/3/2012,3,16,18,28,35,83412.21,126.5,10.5
2/4/2012,4,10,21,34,36,74372.41,103.5,10
2/5/2012,10,21,23,26,27,95518.44,127.5,10
2/6/2012,5,8,9,13,18,35733.59,71,7.5
2/7/2012,1,4,14,22,29,112810.39,94.5,9.5
2/8/2012,4,18,30,34,36,134495.51,127,11
2/9/2012,10,18,21,30,36,223803.57,102.5,10.5
2/10/2012,3,20,22,23,30,247663.03,134,11
2/11/2012,2,6,9,12,25,44144.88,68.5,7.5
2/12/2012,6,10,21,28,35,93196.38,100.5,10
2/13/2012,6,18,25,34,35,108606.64,141.5,11.5
2/14/2012,1,2,5,15,35,112596.18,94,9
2/15/2012,3,9,26,29,31,85638.63,125.5,10
2/16/2012,1,10,26,29,30,226823.59,126.5,10.5
2/17/2012,7,19,22,28,29,124550.56,114.5,10
2/18/2012,1,2,10,23,27,145150.99,108.5,9.5
2/19/2012,3,7,9,12,27,192934.08,66,7
2/20/2012,10,18,27,30,35,108526.35,98,10.5
2/21/2012,6,18,20,23,35,224387.3,136.5,10.5
2/22/2012,5,21,31,33,34,255702.57,132,11
2/23/2012,2,10,20,28,30,0,555,16.5
2/24/2012,13,20,23,28,33,253527.92,132,11
2/25/2012,2,15,25,31,34,98478.42,153,12
2/26/2012,1,9,13,14,19,0,555,13.5
2/27/2012,1,6,8,19,34,221129.82,116,9.5
2/28/2012,4,11,14,24,30,224990.87,89.5,9
2/29/2012,1,13,17,29,34,86563.16,135.5,11.5
3/1/2012,1,2,4,16,22,77924.28,112,8.5
3/2/2012,4,6,7,18,28,86092.78,95.5,8.5
3/3/2012,1,3,7,13,17,11552.72,51.5,6.5
3/4/2012,10,12,18,24,35,200528.77,111.5,9.5
3/5/2012,7,11,20,27,28,76100.86,88,8.5
3/6/2012,1,16,19,32,33,0,555,26
3/7/2012,1,9,27,29,36,132578.94,103,10
3/8/2012,16,27,28,34,35,116098.87,114,11
3/9/2012,3,8,11,33,34,126736.06,105.5,10
3/10/2012,11,13,23,31,34,0,555,23
3/11/2012,9,14,16,21,29,97492.83,98.5,9.5
3/12/2012,6,7,12,30,36,221160.2,110,9.5
3/13/2012,5,6,11,28,35,0,555,19
3/14/2012,10,12,13,14,25,129182.73,95,9.5
3/15/2012,5,9,24,29,34,75062.26,116.5,10.5
3/16/2012,1,11,18,19,27,125441.19,105.5,9
3/17/2012,10,14,23,28,29,145561.89,107.5,10
3/18/2012,6,10,16,28,29,0,555,16
3/19/2012,8,12,20,23,26,111390.59,91.5,9
3/20/2012,4,5,17,27,32,111567.29,123,10
3/21/2012,3,6,18,30,34,255828.43,111.5,10
3/22/2012,8,18,20,23,29,111980.06,125.5,10
3/23/2012,19,23,31,32,33,122523.93,118.5,11
3/24/2012,1,6,11,34,36,142849.08,115.5,9.5
3/25/2012,2,6,19,21,27,95059.79,101.5,9
3/26/2012,5,12,19,28,29,107250.54,99,9
3/27/2012,5,12,13,22,31,110765.01,107,10
3/28/2012,10,19,27,31,34,126844.71,129,11
3/29/2012,5,6,19,28,30,113327.32,98,10
3/30/2012,3,14,17,21,23,66064.72,95,9
3/31/2012,4,6,8,12,13,57980.85,68,7.5
4/1/2012,7,19,21,23,26,97473.76,88.5,8.5
4/2/2012,5,9,17,28,31,222269.38,94,9
4/3/2012,6,7,16,17,24,77594.86,95,9
4/4/2012,6,8,11,20,34,52090.54,103,9.5
4/5/2012,10,20,23,26,30,231257.83,118,10
4/6/2012,4,10,26,29,30,126027.09,114.5,10
4/7/2012,14,16,24,26,36,98296.24,110.5,11
4/8/2012,2,9,21,35,36,173113.3,118,11
4/9/2012,4,11,17,21,36,109361.18,91,8.5
4/10/2012,8,14,18,19,22,55772.87,109,9
4/11/2012,6,18,20,22,31,0,555,22
4/12/2012,4,12,14,26,27,0,555,19
4/13/2012,1,18,19,25,34,129267.67,123,10.5
4/14/2012,6,11,12,29,31,72595.33,115,9.5
4/15/2012,4,10,11,13,15,95862.07,90,8
4/16/2012,3,6,10,12,30,111247.99,80,8
4/17/2012,1,2,9,13,17,0,555,10.5
4/18/2012,7,8,10,13,24,89147.83,87,8.5
4/19/2012,2,12,18,19,20,115006.9,84.5,8.5
4/20/2012,10,12,16,33,36,254806.05,147.5,11
4/21/2012,3,4,10,18,27,59406.85,100,8.5
4/22/2012,14,18,20,28,30,193512.54,113,11
4/23/2012,9,11,20,21,35,0,555,16.5
4/24/2012,3,11,14,23,35,76920.09,120,10
4/25/2012,1,10,11,12,16,88054.98,79,8
4/26/2012,3,5,8,24,31,228714.28,91.5,9
4/27/2012,3,10,16,24,33,84007.83,112,10
4/28/2012,1,12,13,20,34,292087.58,118.5,11
4/29/2012,14,17,20,23,31,190770.9,128.5,11
4/30/2012,13,19,24,28,36,220888.33,142.5,11
5/1/2012,4,14,19,24,30,237534.09,100,10
5/2/2012,5,17,20,24,26,88446.1,107.5,10
5/3/2012,8,16,22,29,34,79833.06,121,10.5
5/4/2012,2,4,7,13,30,64694.21,93,9
5/5/2012,7,14,16,21,36,147493.19,101,9.5
5/6/2012,13,30,33,34,35,97103.16,112,11.5
5/7/2012,9,20,28,31,33,55254.63,127.5,11.5
5/8/2012,3,21,23,25,36,111140.58,126.5,10.5
5/9/2012,3,11,12,26,33,128684.25,118,9.5
5/10/2012,14,16,26,32,34,225711,141,12
5/11/2012,21,32,33,34,36,41513.8,55,10.5
5/12/2012,4,6,11,16,26,49629.34,50.5,8
5/13/2012,9,14,17,22,27,27094.93,78,9
5/14/2012,2,22,32,33,35,214083.52,145,11.5
5/15/2012,4,8,17,18,26,109823.08,84,8.5
5/16/2012,2,5,9,18,34,126541.07,106,9.5
5/17/2012,3,4,5,25,31,221433,111.5,9.5
5/18/2012,7,20,24,32,34,0,555,26.5
5/19/2012,6,13,27,29,31,95728.2,111.5,11
5/20/2012,4,6,7,11,23,31156.24,57,6.5
5/21/2012,4,6,10,13,24,106051.46,81,8
5/22/2012,6,9,10,18,20,107557.91,77,8
5/23/2012,18,21,26,30,31,250842.08,134.5,11.5
5/24/2012,1,3,16,20,32,0,555,23.5
5/25/2012,5,8,11,16,34,122937.16,111,9.5
5/26/2012,6,12,17,31,36,69414.19,122,10
5/27/2012,6,15,17,30,32,46072.43,138,11.5
5/28/2012,4,13,17,20,28,190231.5,101,10
5/29/2012,2,5,20,32,33,204949.68,152,12
5/30/2012,5,13,21,27,31,0,555,20
5/31/2012,1,3,21,24,33,214411.81,126,10
6/1/2012,9,19,23,26,29,81429.14,89.5,9
6/2/2012,5,12,16,24,29,96923.36,100,9.5
6/3/2012,17,21,22,26,34,0,555,22
6/4/2012,2,11,28,29,30,107591.7,119,10.5
6/5/2012,1,5,7,19,27,215485.96,75.5,7.5
6/6/2012,8,13,16,22,24,27600.85,105,9.5
6/7/2012,3,10,11,13,27,70185.24,90.5,8.5
6/8/2012,2,24,27,29,30,116525.12,149,11.5
6/9/2012,4,19,22,29,34,69915.92,119,10.5
6/10/2012,13,19,20,26,35,0,555,27
6/11/2012,2,3,14,15,34,0,555,26.5
6/12/2012,2,10,14,21,33,42597.34,109,10.5
6/13/2012,25,27,28,31,34,82897.41,137.5,12
6/14/2012,16,17,23,33,35,204657.97,134,12
6/15/2012,10,21,23,28,36,76930.01,110.5,10.5
6/16/2012,6,8,17,32,33,0,555,21
6/17/2012,2,9,29,30,33,61196.06,127,11
6/18/2012,21,22,26,29,32,0,555,24
