draw_date,n1,n2,n3,n4,n5,prize_3,prize_4
10/10/2013,20,28,29,30,34,12,609
10/11/2013,7,23,29,33,37,11,520
10/12/2013,19,22,28,34,38,11,504
10/13/2013,9,10,23,29,40,10,585
10/14/2013,10,20,26,38,40,12,606
10/15/2013,11,17,20,27,36,11,603
10/16/2013,2,3,12,13,38,10,537
10/17/2013,4,10,18,33,34,11,536
10/18/2013,4,21,22,23,31,11,608
10/19/2013,8,9,10,19,25,7,243
10/20/2013,12,18,22,34,35,13,670
10/21/2013,5,10,11,29,40,9,418
10/22/2013,15,23,30,33,40,12,558
10/23/2013,19,22,28,34,36,12,479
10/24/2013,7,20,24,32,35,12,562
10/25/2013,14,18,20,24,26,11,453
10/26/2013,7,17,20,29,32,10,328
10/27/2013,16,19,21,29,36,11,537
10/28/2013,2,18,30,33,40,11,661
10/29/2013,7,15,28,32,34,11,555
10/30/2013,2,9,12,13,18,9,423
10/31/2013,2,8,11,32,39,12,702
11/1/2013,9,15,33,38,40,13,606
11/2/2013,8,12,14,19,35,10,531
11/3/2013,4,14,24,28,40,10,458
11/4/2013,6,13,23,28,32,10,499
11/5/2013,4,5,11,12,18,7,229
11/6/2013,2,13,20,26,39,12,662
11/7/2013,14,19,20,34,35,13,666
11/8/2013,8,21,22,23,36,11,601
11/9/2013,5,22,28,37,38,12,752
11/10/2013,21,28,30,33,35,13,820
11/11/2013,1,12,30,31,36,13,666
11/12/2013,27,29,36,38,40,12,570
11/13/2013,5,8,20,28,29,9,439
11/14/2013,1,3,32,33,34,12,646
11/15/2013,1,11,30,33,34,12,546
11/16/2013,3,20,22,34,38,12,576
11/17/2013,16,20,23,37,39,15,671
11/18/2013,9,12,16,18,26,9,509
11/19/2013,4,12,23,34,38,11,634
11/20/2013,11,12,21,31,36,11,450
11/21/2013,4,5,11,28,34,10,519
11/22/2013,1,9,13,21,27,9,417
11/23/2013,4,6,19,29,38,11,470
11/24/2013,26,29,31,33,36,13,574
11/25/2013,18,19,20,24,26,11,423
11/26/2013,8,21,27,32,34,13,473
11/27/2013,3,21,35,37,39,13,680
11/28/2013,5,21,27,36,40,12,544
11/29/2013,12,18,23,32,33,11,681
11/30/2013,1,28,29,37,40,13,600
12/1/2013,6,9,15,19,25,8,362
12/2/2013,9,12,16,32,38,12,564
12/3/2013,13,14,21,22,23,10,497
12/4/2013,5,18,19,31,33,10,549
12/5/2013,1,2,3,31,38,11,646
12/6/2013,10,19,23,24,33,10,488
12/7/2013,9,15,20,25,26,10,365
12/8/2013,2,8,11,21,40,10,513
12/9/2013,11,21,25,27,37,11,566
12/10/2013,1,6,26,36,38,12,585
12/11/2013,7,13,16,20,37,11,597
12/12/2013,11,15,16,20,28,10,515
12/13/2013,6,19,28,31,38,12,669
12/14/2013,17,18,33,38,40,12,571
12/15/2013,1,3,8,9,34,9,375
12/16/2013,6,17,27,28,29,9,429
12/17/2013,8,19,20,32,37,13,572
12/18/2013,18,21,35,36,38,13,721
12/19/2013,1,9,22,24,33,10,537
12/20/2013,6,11,21,27,31,9,365
12/21/2013,3,15,19,22,34,11,484
12/22/2013,2,11,16,21,27,9,398
12/23/2013,3,11,22,33,40,10,505
12/24/2013,4,8,9,28,38,9,466
12/26/2013,8,22,28,30,31,11,497
12/27/2013,14,20,25,30,38,12,651
12/28/2013,3,6,31,35,36,12,636
12/29/2013,9,16,35,36,38,14,755
12/30/2013,3,10,21,26,33,10,519
12/31/2013,1,2,15,26,30,11,579
1/1/2014,2,15,25,30,36,12,528
1/2/2014,3,7,20,27,32,10,544
1/3/2014,3,5,15,34,40,11,615
1/4/2014,1,11,21,22,35,10,612
1/5/2014,12,14,36,37,38,13,640
1/6/2014,6,7,9,26,33,10,572
1/7/2014,6,11,21,29,39,11,618
1/8/2014,23,33,34,36,37,13,566
1/9/2014,8,15,16,25,34,11,556
1/10/2014,14,18,19,36,38,12,633
1/11/2014,5,19,20,34,36,11,570
1/12/2014,1,14,17,34,36,14,944
1/13/2014,3,7,20,21,28,8,488
1/14/2014,8,13,22,39,40,11,633
1/15/2014,2,4,27,31,39,12,823
1/16/2014,2,10,22,26,33,10,496
1/17/2014,6,13,17,23,29,9,387
1/18/2014,11,17,25,27,34,10,506
1/19/2014,14,19,24,25,29,10,497
1/20/2014,1,25,38,39,40,12,499
1/21/2014,8,14,23,28,33,10,460
1/22/2014,8,19,20,27,30,9,491
1/23/2014,7,8,16,18,38,11,555
1/24/2014,2,8,18,23,29,8,426
1/25/2014,3,13,18,27,28,9,452
1/26/2014,4,25,30,31,35,13,846
1/27/2014,6,15,22,29,37,11,541
1/28/2014,4,5,11,14,28,8,345
1/29/2014,1,8,17,19,38,10,488
1/30/2014,2,7,14,23,31,10,387
1/31/2014,3,4,17,22,36,11,504
2/1/2014,24,27,33,36,40,12,523
2/2/2014,3,5,13,35,38,11,562
2/3/2014,2,8,25,36,40,13,711
2/4/2014,1,12,29,38,39,12,788
2/5/2014,9,31,35,36,39,13,679
2/6/2014,13,15,24,28,36,11,608
2/7/2014,2,8,15,26,39,11,525
2/8/2014,16,21,34,37,38,13,587
2/9/2014,3,14,17,26,27,9,449
2/10/2014,10,14,22,24,39,11,579
2/11/2014,2,13,17,34,36,12,670
2/12/2014,11,16,26,37,40,13,691
2/13/2014,6,14,16,17,37,12,702
2/14/2014,7,11,23,30,40,10,414
2/15/2014,11,18,30,31,35,12,596
2/16/2014,3,5,16,19,30,9,426
2/17/2014,7,8,15,22,39,10,627
2/18/2014,3,10,16,20,24,9,397
2/19/2014,11,16,17,20,39,11,575
2/20/2014,17,21,24,25,39,11,572
2/21/2014,6,7,27,28,34,10,648
2/22/2014,4,6,15,22,28,9,400
2/23/2014,4,8,11,18,39,9,337
2/24/2014,2,4,16,17,26,10,430
2/25/2014,4,20,22,25,27,10,408
2/26/2014,3,14,19,27,35,10,465
2/27/2014,3,4,6,32,33,12,535
2/28/2014,15,19,23,28,29,9,433
3/1/2014,8,10,25,34,36,12,609
3/2/2014,1,26,29,30,31,12,532
3/3/2014,2,7,22,26,27,9,358
3/4/2014,9,18,21,31,39,12,698
3/5/2014,1,5,15,23,24,9,458
3/6/2014,6,9,29,30,35,11,631
3/7/2014,6,7,12,31,35,11,506
3/8/2014,3,15,23,25,36,11,626
3/9/2014,3,17,28,31,36,11,555
3/10/2014,21,29,35,37,40,12,683
3/11/2014,1,11,21,30,31,10,291
3/12/2014,10,12,13,20,28,9,333
3/13/2014,6,12,20,21,33,11,542
3/14/2014,6,8,13,28,30,9,398
3/15/2014,11,22,23,35,39,12,553
3/16/2014,3,5,8,18,25,8,322
3/17/2014,5,15,19,23,34,10,440
3/18/2014,9,18,27,28,35,11,584
3/19/2014,1,12,17,30,38,12,683
3/20/2014,5,8,10,23,26,8,328
3/21/2014,4,9,11,32,39,11,630
3/22/2014,12,20,26,30,37,12,587
3/23/2014,3,12,34,37,40,12,632
3/24/2014,19,21,22,27,30,10,566
3/25/2014,1,9,13,22,38,11,442
3/26/2014,10,16,22,24,26,10,448
3/27/2014,6,10,18,29,30,10,431
3/28/2014,6,8,15,16,33,10,613
3/29/2014,3,6,10,21,39,10,499
3/30/2014,13,19,23,26,29,9,436
3/31/2014,1,7,20,24,33,11,592
4/1/2014,8,17,26,27,32,11,550
4/2/2014,6,10,17,20,34,11,529
4/3/2014,20,23,26,27,33,12,672
4/4/2014,8,19,25,30,40,10,486
4/5/2014,4,8,33,39,40,12,591
4/6/2014,11,14,35,36,39,14,666
4/7/2014,7,15,22,24,37,11,702
4/8/2014,2,3,18,30,33,11,564
4/9/2014,1,9,10,31,40,11,543
4/10/2014,1,4,18,19,36,11,687
4/11/2014,21,31,35,36,38,13,553
4/12/2014,2,5,12,15,20,9,341
4/13/2014,6,12,15,17,35,11,511
4/14/2014,2,4,5,6,8,6,137
4/15/2014,3,15,17,29,38,11,536
