draw_date,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
10/10/2013,20,28,29,30,34,0,609,12
10/11/2013,7,23,29,33,37,0,520,11
10/12/2013,19,22,28,34,38,0,504,11
10/13/2013,9,10,23,29,40,146965,585,10
10/14/2013,10,20,26,38,40,0,606,12
10/15/2013,11,17,20,27,36,0,603,11
10/16/2013,2,3,12,13,38,0,537,10
10/17/2013,4,10,18,33,34,457568,536,11
10/18/2013,4,21,22,23,31,72813,608,11
10/19/2013,8,9,10,19,25,63639,243,7
10/20/2013,12,18,22,34,35,0,670,13
10/21/2013,5,10,11,29,40,153289,418,9
10/22/2013,15,23,30,33,40,0,558,12
10/23/2013,19,22,28,34,36,0,479,12
10/24/2013,7,20,24,32,35,0,562,12
10/25/2013,14,18,20,24,26,448978,453,11
10/26/2013,7,17,20,29,32,0,328,10
10/27/2013,16,19,21,29,36,0,537,11
10/28/2013,2,18,30,33,40,0,661,11
10/29/2013,7,15,28,32,34,0,555,11
10/30/2013,2,9,12,13,18,119813,423,9
10/31/2013,2,8,11,32,39,68906,702,12
11/1/2013,9,15,33,38,40,0,606,13
11/2/2013,8,12,14,19,35,0,531,10
11/3/2013,4,14,24,28,40,272290,458,10
11/4/2013,6,13,23,28,32,71588,499,10
11/5/2013,4,5,11,12,18,34504,229,7
11/6/2013,2,13,20,26,39,0,662,12
11/7/2013,14,19,20,34,35,0,666,13
11/8/2013,8,21,22,23,36,148351,601,11
11/9/2013,5,22,28,37,38,65011,752,12
11/10/2013,21,28,30,33,35,0,820,13
11/11/2013,1,12,30,31,36,0,666,13
11/12/2013,27,29,36,38,40,0,570,12
11/13/2013,5,8,20,28,29,0,439,9
11/14/2013,1,3,32,33,34,0,646,12
11/15/2013,1,11,30,33,34,0,546,12
11/16/2013,3,20,22,34,38,1316860,576,12
11/17/2013,16,20,23,37,39,0,671,15
11/18/2013,9,12,16,18,26,78184,509,9
11/19/2013,4,12,23,34,38,0,634,11
11/20/2013,11,12,21,31,36,0,450,11
11/21/2013,4,5,11,28,34,0,519,10
11/22/2013,1,9,13,21,27,243972,417,9
11/23/2013,4,6,19,29,38,0,470,11
11/24/2013,26,29,31,33,36,0,574,13
11/25/2013,18,19,20,24,26,91608,423,11
11/26/2013,8,21,27,32,34,70602,473,13
11/27/2013,3,21,35,37,39,35374,680,13
11/28/2013,5,21,27,36,40,0,544,12
11/29/2013,12,18,23,32,33,0,681,11
11/30/2013,1,28,29,37,40,268162,600,13
12/1/2013,6,9,15,19,25,59695,362,8
12/2/2013,9,12,16,32,38,0,564,12
12/3/2013,13,14,21,22,23,173395,497,10
12/4/2013,5,18,19,31,33,0,549,10
12/5/2013,1,2,3,31,38,169483,646,11
12/6/2013,10,19,23,24,33,74858,488,10
12/7/2013,9,15,20,25,26,0,365,10
