draw_date,n1,n2,n3,n4,n5,prize_3,prize_4
1/1/2012,12,15,36,40,41,16.5,377
1/2/2012,6,7,22,29,33,10,249.5
1/3/2012,18,20,27,30,35,12,270.5
1/4/2012,6,9,12,18,40,9.5,208
1/5/2012,21,27,33,39,40,14.5,336
1/6/2012,2,9,13,14,36,11.5,224
1/7/2012,6,21,22,31,35,12.5,290.5
1/8/2012,1,9,20,24,35,11.5,275
1/9/2012,4,12,19,21,36,9.5,198.5
1/10/2012,2,19,25,30,42,13,366
1/11/2012,4,24,26,32,40,13.5,325
1/12/2012,14,25,27,31,43,12.5,339.5
1/13/2012,3,6,9,15,42,10,179.5
1/14/2012,4,9,13,16,29,9.5,171
1/15/2012,6,9,21,23,25,8,157
1/16/2012,12,18,19,25,40,12,238
1/17/2012,3,23,39,40,41,16.5,424.5
1/18/2012,13,25,34,35,43,14,357.5
1/19/2012,14,30,31,33,36,13.5,241.5
1/20/2012,5,9,38,41,43,15,346
1/21/2012,8,9,12,26,43,10,285
1/22/2012,2,20,24,33,40,14,330.5
1/23/2012,5,16,20,31,37,12,340.5
1/24/2012,6,20,33,35,39,13,299.5
1/25/2012,4,6,12,13,23,7,149
1/26/2012,12,13,15,34,36,14,311
1/27/2012,14,23,25,33,43,12,289
1/28/2012,1,6,16,21,39,11.5,176.5
1/29/2012,16,26,33,41,43,18,444.5
1/30/2012,12,13,17,34,37,12,304.5
1/31/2012,1,7,8,11,24,7,129.5
2/1/2012,6,9,21,33,43,11,192.5
2/2/2012,11,14,19,24,40,11,316
2/3/2012,7,8,31,41,43,14,319
2/4/2012,10,17,19,23,34,9.5,204.5
2/5/2012,7,10,14,38,42,12.5,328.5
2/6/2012,7,11,23,25,27,7.5,135
2/7/2012,15,20,27,35,36,13,309
2/8/2012,12,19,32,40,42,14,319.5
2/9/2012,9,11,16,24,36,10,241
2/10/2012,8,15,20,22,37,11.5,255.5
2/11/2012,3,10,22,23,34,10,211.5
2/12/2012,10,13,15,29,39,10.5,208.5
2/13/2012,1,5,14,19,23,7.5,143
2/14/2012,24,29,31,32,33,14,306.5
2/15/2012,4,25,29,30,33,11.5,281
2/16/2012,4,23,24,33,34,12,272
2/17/2012,1,13,25,36,41,14.5,251
2/18/2012,4,21,28,36,42,14,364.5
2/19/2012,2,19,28,33,34,12,314.5
2/20/2012,3,8,16,26,34,10.5,224.5
2/21/2012,12,25,28,38,41,12.5,255
2/22/2012,4,15,28,42,43,14.5,373.5
2/23/2012,2,11,14,21,23,8,173
2/24/2012,7,8,15,29,33,10,289
2/25/2012,14,18,21,23,41,13,264
2/26/2012,4,16,25,28,29,9.5,201.5
2/27/2012,13,20,22,29,33,11,244
2/28/2012,3,10,34,39,40,15.5,478
2/29/2012,2,8,11,18,29,7.5,127
3/1/2012,9,25,32,35,42,15,392.5
3/2/2012,11,26,29,32,39,13,316
3/3/2012,14,18,29,38,39,12.5,321
3/4/2012,1,4,16,17,31,9.5,188.5
3/5/2012,5,9,23,40,43,12,328
3/6/2012,15,16,19,25,36,12.5,292.5
3/7/2012,4,7,13,32,34,11,318.5
3/8/2012,4,21,31,33,43,12.5,310.5
3/9/2012,12,16,18,28,36,11,243.5
3/10/2012,4,15,20,27,30,9.5,236
3/11/2012,5,11,12,27,30,7,142
3/12/2012,11,17,22,36,38,12,278.5
3/13/2012,19,21,24,31,36,11.5,293
3/14/2012,3,4,12,13,41,11,266.5
3/15/2012,2,7,17,31,32,10.5,256.5
3/16/2012,11,15,16,19,23,8.5,213
3/17/2012,4,15,19,28,38,10.5,232
3/18/2012,5,9,13,33,35,9.5,242.5
3/19/2012,1,21,23,27,43,12,350
3/20/2012,1,3,11,20,34,10,283.5
3/21/2012,7,9,12,16,27,7.5,161
3/22/2012,7,11,17,23,37,8,127.5
3/23/2012,2,6,14,22,34,10.5,202
3/24/2012,6,18,22,27,33,11,251
3/25/2012,6,15,32,34,38,16,303
3/26/2012,11,15,20,30,31,10,233
3/27/2012,3,13,22,25,36,11,232
3/28/2012,1,4,11,14,36,9.5,192.5
3/29/2012,2,13,24,29,37,11.5,274
3/30/2012,1,6,19,31,37,12,325.5
3/31/2012,2,8,11,18,41,10,217
4/1/2012,2,8,24,30,39,10.5,265
4/2/2012,3,7,18,20,26,9,174.5
4/3/2012,8,10,26,29,33,10.5,268.5
4/4/2012,26,27,34,40,43,17,437.5
4/5/2012,6,14,34,35,37,14,367.5
4/6/2012,3,10,12,14,42,10.5,294
4/7/2012,3,6,9,15,16,8.5,155.5
4/8/2012,4,5,9,25,30,7,153
4/9/2012,3,5,23,37,43,11,313
4/10/2012,3,5,14,30,33,9.5,256
4/11/2012,10,14,15,30,43,12,307.5
4/12/2012,3,19,32,33,41,13,311
4/13/2012,6,16,19,22,35,11.5,314
4/14/2012,8,11,14,23,42,10,246.5
4/15/2012,5,7,33,39,42,12.5,288
4/16/2012,3,6,13,36,42,12.5,329
4/17/2012,3,6,13,28,39,9.5,211
4/18/2012,1,6,16,30,39,11.5,247
4/19/2012,1,3,19,36,42,13.5,328.5
4/20/2012,16,17,23,38,40,14.5,372.5
4/21/2012,16,23,29,30,33,11.5,307.5
4/22/2012,2,10,12,19,34,8,159
4/23/2012,7,12,25,29,42,11,255.5
4/24/2012,8,18,21,34,41,13.5,315
4/25/2012,18,19,22,27,36,12,279.5
4/26/2012,5,20,23,26,41,12,280.5
4/27/2012,12,14,36,37,38,13.5,320.5
4/28/2012,6,31,33,37,40,16,531
4/29/2012,19,20,21,24,26,10.5,244.5
4/30/2012,3,14,17,38,42,13.5,355.5
5/1/2012,22,24,28,29,35,13,309.5
5/2/2012,12,17,27,29,39,10,224
5/3/2012,1,12,14,18,21,9.5,187
5/4/2012,3,6,20,32,40,12.5,319
5/5/2012,15,24,33,42,43,15.5,294.5
5/6/2012,2,13,16,35,43,14.5,349
5/7/2012,11,16,22,24,29,9,191.5
5/8/2012,18,27,28,32,33,13,306.5
5/9/2012,17,18,38,41,43,15.5,347.5
5/10/2012,6,8,11,18,31,8.5,184
5/11/2012,3,7,17,39,43,10.5,281
5/12/2012,3,24,30,31,33,10.5,217
5/13/2012,6,24,28,32,41,15,316
5/14/2012,9,17,26,32,41,14,263.5
5/15/2012,13,17,21,25,41,11.5,278.5
5/16/2012,33,34,35,40,43,16,344.5
5/17/2012,8,14,23,27,35,10.5,245.5
5/18/2012,17,25,26,29,32,12,319
5/19/2012,2,7,8,14,31,9,165.5
5/20/2012,5,15,19,26,40,11,251.5
5/21/2012,11,26,31,33,43,13,354
5/22/2012,13,29,35,39,42,15,463.5
5/23/2012,10,15,16,18,37,12,325
5/24/2012,1,4,9,22,36,10,194
5/25/2012,5,13,15,28,40,11,262.5
5/26/2012,2,29,37,38,41,13.5,308.5
5/27/2012,2,3,24,28,34,11,281.5
5/28/2012,3,5,8,32,41,11,293
5/29/2012,19,20,25,39,42,16,289.5
5/30/2012,6,7,16,29,40,13,299.5
5/31/2012,1,7,11,12,24,6,100
6/1/2012,3,4,30,34,39,13.5,311
6/2/2012,3,21,25,35,39,12.5,240
6/3/2012,11,20,25,26,40,13,337
6/4/2012,8,28,31,37,38,12,324
6/5/2012,1,2,12,20,33,9.5,211.5
6/6/2012,13,17,22,32,40,13.5,284
6/7/2012,9,15,20,27,35,11,242.5
6/8/2012,10,12,24,37,39,11,224.5
6/9/2012,3,13,20,35,37,12,293
6/10/2012,2,5,21,26,33,10.5,260
6/11/2012,15,17,19,25,30,10.5,220
6/12/2012,1,14,17,20,28,9.5,187
6/13/2012,13,15,33,36,42,15,344
6/14/2012,7,9,14,25,32,10,231
6/15/2012,10,20,27,42,43,13,331.5
6/16/2012,12,13,15,34,36,12.5,317.5
6/17/2012,2,10,21,22,30,9,181
6/18/2012,2,5,19,22,43,10,218.5
6/19/2012,2,6,38,41,43,15,337
6/20/2012,8,9,26,36,37,13,350
6/21/2012,19,30,32,34,40,13.5,305.5
6/22/2012,4,10,19,24,38,9.5,231.5
6/23/2012,2,8,14,24,41,10.5,207.5
6/24/2012,2,6,11,32,37,11.5,292
6/25/2012,7,18,26,29,39,11,251.5
6/26/2012,10,24,27,37,39,12,270
6/27/2012,5,17,32,39,42,13,275
6/28/2012,3,23,25,37,42,13.5,417
6/29/2012,3,8,11,24,28,7,120.5
6/30/2012,8,14,21,22,29,9.5,207.5
7/1/2012,4,15,19,20,30,9,305
7/2/2012,2,5,26,30,40,12,288.5
7/3/2012,1,5,10,24,43,9.5,252.5
7/4/2012,1,8,31,32,34,13,368.5
7/5/2012,3,10,20,36,43,12.5,342
7/6/2012,29,32,33,34,42,16,490
7/7/2012,3,5,21,25,34,10,226.5
7/8/2012,7,19,28,30,34,10.5,257.5
7/9/2012,1,5,14,17,27,8.5,168.5
7/10/2012,1,12,13,30,33,10,243
7/11/2012,8,9,14,18,35,10,317
7/12/2012,10,14,16,29,39,11,254.5
7/13/2012,12,20,29,35,37,12.5,263
7/14/2012,17,22,32,37,42,13.5,283
7/15/2012,8,9,20,33,40,13.5,471.5
7/16/2012,18,23,27,36,42,14,303.5
7/17/2012,14,16,27,28,30,11,241
7/18/2012,3,6,26,28,36,10.5,249.5
7/19/2012,11,26,27,33,37,12,359
7/20/2012,11,23,33,40,41,14.5,485
7/21/2012,2,5,22,23,29,9,165
7/22/2012,5,16,38,40,41,15,310
7/23/2012,2,22,24,34,40,12.5,296.5
7/24/2012,15,34,38,40,42,14,286
7/25/2012,21,22,29,38,41,12.5,308
7/26/2012,7,9,17,22,41,10,251.5
7/27/2012,19,24,28,39,41,14,418
7/28/2012,4,9,13,15,43,10.5,279
7/29/2012,8,13,21,23,39,9.5,223
7/30/2012,2,22,27,30,33,11,393.5
7/31/2012,2,3,20,23,33,9.5,220.5
8/1/2012,3,25,28,35,41,13.5,316.5
8/2/2012,8,12,34,36,42,13,307.5
8/3/2012,10,12,13,30,39,10.5,282
8/4/2012,5,7,24,32,43,11,276.5
8/5/2012,6,17,37,38,43,14.5,472
8/6/2012,2,11,20,29,33,10,231.5
8/7/2012,15,17,21,35,39,12,270.5
8/8/2012,3,5,31,40,42,13,317.5
8/9/2012,2,10,15,20,30,9,148
8/10/2012,6,11,18,30,31,10.5,213
8/11/2012,8,17,29,35,39,11.5,281.5
8/12/2012,15,20,23,29,43,13,304.5
8/13/2012,1,8,23,27,32,10.5,270
8/14/2012,5,7,23,35,43,11,192
8/15/2012,2,7,16,18,41,11.5,277.5
8/16/2012,2,5,10,15,24,6.5,106
8/17/2012,4,10,32,34,41,15.5,398
8/18/2012,1,12,24,34,40,13.5,324.5
8/19/2012,3,18,24,28,41,11.5,283
8/20/2012,14,22,27,35,38,13.5,331.5
8/21/2012,10,12,18,30,36,10,203
8/22/2012,5,6,26,32,36,12.5,270.5
8/23/2012,17,18,29,38,42,14.5,454
8/24/2012,5,18,29,32,33,11.5,289
8/25/2012,13,19,24,34,38,12,255.5
8/26/2012,23,24,25,39,41,13.5,373
8/27/2012,1,20,22,37,43,13,277.5
8/28/2012,11,14,19,37,41,12.5,295.5
8/29/2012,11,33,36,41,42,16.5,353.5
8/30/2012,7,20,22,40,42,14,298.5
8/31/2012,10,12,18,20,34,10,211.5
9/1/2012,6,8,22,27,42,11.5,245
9/2/2012,8,15,26,28,30,9.5,191.5
9/3/2012,3,7,14,31,37,10,280
9/4/2012,8,18,33,38,41,13,280
9/5/2012,3,6,15,16,37,11.5,249.5
9/6/2012,1,3,11,29,35,10,262.5
9/7/2012,3,13,21,24,31,9.5,187.5
9/8/2012,28,32,36,37,40,16,367.5
9/9/2012,16,29,38,39,42,15.5,319.5
9/10/2012,4,7,26,38,43,12.5,319
9/11/2012,7,31,33,34,39,12,242
9/12/2012,2,3,19,22,24,9.5,190.5
9/13/2012,2,10,24,30,41,11,286.5
9/14/2012,23,27,28,36,41,14.5,450
9/15/2012,1,5,13,25,29,8.5,175.5
9/16/2012,2,4,23,28,33,10,216.5
9/17/2012,24,28,37,40,42,13.5,309
9/18/2012,4,13,20,40,41,13,278.5
9/19/2012,4,11,21,27,31,8.5,153
9/20/2012,19,24,28,34,41,13,299.5
9/21/2012,12,18,22,34,42,12,307
9/22/2012,3,4,7,20,31,9,211.5
9/23/2012,5,12,18,22,38,9.5,202
9/24/2012,2,13,20,41,42,13,325
9/25/2012,18,28,31,35,37,13.5,383
9/26/2012,1,5,14,15,36,10.5,216.5
9/27/2012,7,19,21,32,42,11.5,264.5
9/28/2012,9,10,14,22,33,10,221.5
9/29/2012,6,19,22,35,36,13,255
9/30/2012,17,20,23,26,35,12,299
10/1/2012,5,6,13,17,23,8.5,166.5
10/2/2012,1,4,15,18,40,11.5,286
10/3/2012,6,12,14,37,41,12.5,311.5
10/4/2012,14,27,37,40,42,16,351.5
10/5/2012,12,16,19,30,37,11.5,331.5
10/6/2012,13,14,19,20,32,12,247.5
