draw_date,sales
1/2/2012,246830
1/3/2012,226846
1/4/2012,225591
1/5/2012,229875
1/6/2012,244028
1/7/2012,237744
1/9/2012,243835
1/10/2012,218622
1/11/2012,219709
1/12/2012,220493
1/13/2012,245489
1/14/2012,239027
1/16/2012,245184
1/17/2012,212574
1/18/2012,215665
1/19/2012,221020
1/20/2012,235428
1/21/2012,232630
1/23/2012,243811
1/24/2012,208682
1/25/2012,207100
1/26/2012,221806
1/27/2012,231270
1/28/2012,229473
1/30/2012,243261
1/31/2012,214640
2/1/2012,228716
2/2/2012,235854
2/3/2012,249582
2/4/2012,246607
2/6/2012,251729
2/7/2012,223526
2/8/2012,225896
2/9/2012,228131
2/10/2012,239381
2/11/2012,239450
2/13/2012,239493
2/14/2012,217996
2/15/2012,221772
2/16/2012,229038
2/17/2012,241453
2/18/2012,233190
2/20/2012,238115
2/21/2012,217111
2/22/2012,214839
2/23/2012,223561
2/24/2012,234740
2/25/2012,235018
2/27/2012,237683
2/28/2012,213946
2/29/2012,218098
3/1/2012,233081
3/2/2012,246676
3/3/2012,243369
3/5/2012,247410
3/6/2012,218464
3/7/2012,219320
3/8/2012,224460
3/9/2012,230969
3/10/2012,234103
3/12/2012,234387
3/13/2012,212628
3/14/2012,210746
3/15/2012,219679
3/16/2012,228068
3/17/2012,225476
3/19/2012,232712
3/20/2012,208328
3/21/2012,210471
3/22/2012,215420
3/23/2012,224937
3/24/2012,218867
3/26/2012,221805
3/27/2012,217457
3/28/2012,203890
3/29/2012,215586
3/30/2012,263037
3/31/2012,220298
4/2/2012,234043
4/3/2012,218160
4/4/2012,218251
4/5/2012,225767
4/6/2012,232612
4/7/2012,229769
4/9/2012,226630
4/10/2012,211310
4/11/2012,211958
4/12/2012,217487
4/13/2012,236343
4/14/2012,228800
4/16/2012,229791
4/17/2012,210260
4/18/2012,210874
4/19/2012,216004
4/20/2012,225785
4/21/2012,220489
4/23/2012,223180
4/24/2012,203046
4/25/2012,204449
4/26/2012,210981
4/27/2012,222514
4/28/2012,220247
4/30/2012,223138
5/1/2012,213719
5/2/2012,213153
5/3/2012,219280
5/4/2012,228376
5/5/2012,222700
5/7/2012,224010
5/8/2012,204870
5/9/2012,207068
5/10/2012,213490
5/11/2012,222429
5/12/2012,217815
5/14/2012,216409
5/15/2012,204110
5/16/2012,204427
5/17/2012,209185
5/18/2012,221517
5/19/2012,216032
5/21/2012,216349
5/22/2012,198918
5/23/2012,199548
5/24/2012,203584
5/25/2012,216513
5/26/2012,209523
5/28/2012,186212
5/29/2012,190324
5/30/2012,190999
5/31/2012,202186
6/1/2012,225657
6/2/2012,222422
6/4/2012,218422
6/5/2012,198988
6/6/2012,195940
6/7/2012,203542
6/8/2012,217389
6/9/2012,211661
6/11/2012,207460
6/12/2012,190801
6/13/2012,194881
6/14/2012,196314
6/15/2012,211585
6/16/2012,210276
6/18/2012,208064
6/19/2012,191202
6/20/2012,195882
6/21/2012,198443
6/22/2012,210701
6/23/2012,210112
6/25/2012,207098
6/26/2012,187166
6/27/2012,190192
6/28/2012,197386
6/29/2012,214379
6/30/2012,215330
7/2/2012,218138
7/3/2012,205131
7/4/2012,181731
7/5/2012,201887
7/6/2012,214442
7/7/2012,213798
7/9/2012,213019
7/10/2012,193302
7/11/2012,198105
7/12/2012,199176
7/13/2012,215109
7/14/2012,211301
7/16/2012,211227
7/17/2012,192182
7/18/2012,194531
7/19/2012,197330
7/20/2012,209623
7/21/2012,207006
7/23/2012,204241
7/24/2012,187926
7/25/2012,190738
7/26/2012,192121
7/27/2012,204386
7/28/2012,204208
7/30/2012,202791
7/31/2012,189814
8/1/2012,198870
8/2/2012,200355
8/3/2012,217807
