draw_date,sales
10/3/2011,464768
10/6/2011,514399
10/10/2011,601293
10/13/2011,690858
10/17/2011,827978
10/20/2011,988501
10/24/2011,1063626
10/27/2011,1117851
10/31/2011,458787
11/3/2011,458964
11/7/2011,494784
11/10/2011,465378
11/14/2011,489527
11/17/2011,545372
11/21/2011,655771
11/24/2011,377541
11/28/2011,468934
12/1/2011,460903
12/5/2011,475522
12/8/2011,533019
12/12/2011,635139
12/15/2011,727754
12/19/2011,451026
12/22/2011,479688
12/26/2011,495172
12/29/2011,649330
1/2/2012,724741
1/5/2012,475359
1/9/2012,473838
1/12/2012,547956
1/16/2012,651790
1/19/2012,727795
1/23/2012,872339
1/26/2012,1000012
1/30/2012,1125363
2/2/2012,1234529
2/6/2012,494558
2/9/2012,506633
2/13/2012,472287
2/16/2012,487558
2/20/2012,498846
2/23/2012,481742
2/27/2012,499095
3/1/2012,591910
3/5/2012,711740
3/8/2012,803074
3/12/2012,921023
3/15/2012,1030781
3/19/2012,1140810
3/22/2012,1201792
3/26/2012,491499
3/29/2012,504541
4/2/2012,633784
4/5/2012,756579
4/9/2012,499527
4/12/2012,535296
4/16/2012,628315
4/19/2012,720313
4/23/2012,821594
4/26/2012,486505
4/30/2012,516808
5/3/2012,601534
5/7/2012,704035
5/10/2012,799175
5/14/2012,481437
5/17/2012,478515
5/21/2012,473090
5/24/2012,464705
5/28/2012,426477
5/31/2012,463479
6/4/2012,493497
6/7/2012,555315
6/11/2012,453549
6/14/2012,442742
6/18/2012,454125
6/21/2012,476318
6/25/2012,558972
6/28/2012,641466
7/2/2012,770697
7/5/2012,841286
7/9/2012,1064882
7/12/2012,469892
7/16/2012,498773
7/19/2012,459076
7/23/2012,484541
7/26/2012,444421
7/30/2012,472725
8/2/2012,559786
8/6/2012,683100
8/9/2012,751944
8/13/2012,906658
8/16/2012,446298
8/20/2012,487482
8/23/2012,559220
8/27/2012,668990
8/30/2012,738386
9/3/2012,788065
9/6/2012,467526
9/10/2012,477017
9/13/2012,427141
9/17/2012,454903
9/20/2012,508890
9/24/2012,599926
9/27/2012,673800
10/1/2012,815652
10/4/2012,435590
10/8/2012,445744
10/11/2012,422500
10/15/2012,446233
10/18/2012,501263
10/22/2012,593049
10/25/2012,660058
10/29/2012,416664
11/1/2012,441618
11/5/2012,432316
11/8/2012,409918
11/12/2012,420858
11/15/2012,476653
11/19/2012,568620
11/22/2012,338738
11/26/2012,430136
11/29/2012,463909
12/3/2012,606519
12/6/2012,691650
12/10/2012,829668
12/13/2012,1023467
12/17/2012,1113903
12/20/2012,450490
12/24/2012,476799
12/27/2012,436163
12/31/2012,636674
1/3/2013,675844
1/7/2013,803866
1/10/2013,879309
1/14/2013,442992
1/17/2013,457578
1/21/2013,528177
1/24/2013,618221
1/28/2013,727666
1/31/2013,428285
2/4/2013,465808
2/7/2013,548159
2/11/2013,655225
2/14/2013,726541
2/18/2013,864858
2/21/2013,1063286
2/25/2013,455046
2/28/2013,487156
3/4/2013,592002
3/7/2013,450808
3/11/2013,467716
3/14/2013,520172
3/18/2013,439130
3/21/2013,421525
3/25/2013,451825
3/28/2013,514023
4/1/2013,632084
4/4/2013,745612
4/8/2013,887210
4/11/2013,444708
4/15/2013,451921
4/18/2013,447772
4/22/2013,531403
4/25/2013,599196
4/29/2013,695448
5/2/2013,795951
5/6/2013,973794
5/9/2013,1005487
5/13/2013,444794
5/16/2013,449472
5/20/2013,535498
5/23/2013,608095
5/27/2013,400001
5/30/2013,464099
6/3/2013,556391
6/6/2013,611830
6/10/2013,714912
6/13/2013,443839
6/17/2013,472416
6/20/2013,525717
6/24/2013,611278
6/27/2013,674755
7/1/2013,814903
7/4/2013,410659
7/8/2013,445672
7/11/2013,456650
7/15/2013,535300
7/18/2013,601853
7/22/2013,698124
7/25/2013,772205
7/29/2013,434948
8/1/2013,454013
8/5/2013,535059
8/8/2013,598922
8/12/2013,699102
8/15/2013,446899
8/19/2013,450518
8/22/2013,454791
8/26/2013,515697
8/29/2013,568903
9/2/2013,605036
9/5/2013,741411
9/9/2013,907725
9/12/2013,417528
9/16/2013,440574
9/19/2013,474804
9/23/2013,423299
9/26/2013,431192
9/30/2013,421970
10/3/2013,418539
10/7/2013,435155
10/10/2013,469466
10/14/2013,537247
10/17/2013,601585
10/21/2013,413324
10/24/2013,415121
10/28/2013,473868
10/31/2013,525066
11/4/2013,634691
11/7/2013,701394
11/11/2013,822470
11/14/2013,945489
11/18/2013,430227
11/21/2013,421855
11/25/2013,404046
11/28/2013,365666
12/2/2013,489279
12/5/2013,548134
12/9/2013,405237
12/12/2013,439102
12/16/2013,490053
12/19/2013,588256
12/23/2013,668861
12/26/2013,688814
12/30/2013,873367
1/2/2014,434617
1/6/2014,438925
1/9/2014,457202
1/13/2014,442538
1/16/2014,448933
1/20/2014,503916
1/23/2014,562982
1/27/2014,657687
1/30/2014,713037
2/3/2014,867844
2/6/2014,406375
2/10/2014,453169
2/13/2014,496954
2/17/2014,596267
2/20/2014,424582
2/24/2014,464705
2/27/2014,503368
3/3/2014,438192
3/6/2014,455832
3/10/2014,513613
3/13/2014,576620
3/17/2014,684290
3/20/2014,432690
3/24/2014,459111
3/27/2014,513534
3/31/2014,608400
4/3/2014,694105
4/7/2014,444529
4/10/2014,448099
4/14/2014,512099
4/17/2014,575775
4/21/2014,425866
4/24/2014,431033
4/28/2014,483127
5/1/2014,556575
5/5/2014,653681
5/8/2014,405488
5/12/2014,432820
5/15/2014,479615
5/19/2014,565124
5/22/2014,623842
5/26/2014,652137
5/29/2014,843781
6/2/2014,1026025
6/5/2014,1051651
6/9/2014,428045
6/12/2014,433090
6/16/2014,499331
6/19/2014,575403
6/23/2014,667770
6/26/2014,736034
6/30/2014,916352
7/3/2014,433529
7/7/2014,455994
7/10/2014,493292
7/14/2014,588283
7/17/2014,661534
7/21/2014,775876
7/24/2014,885519
7/28/2014,433569
7/31/2014,425399
8/4/2014,471081
8/7/2014,508823
8/11/2014,585027
8/14/2014,419030
8/18/2014,448455
8/21/2014,474474
8/25/2014,569516
8/28/2014,415996
9/1/2014,405977
9/4/2014,490967
9/8/2014,564311
9/11/2014,616695
9/15/2014,719671
9/18/2014,792747
9/22/2014,963724
9/25/2014,412800
9/29/2014,424562
10/2/2014,420598
10/6/2014,456936
10/9/2014,483148
10/13/2014,420119
10/16/2014,431931
10/20/2014,405825
10/23/2014,411961
10/27/2014,456026
10/30/2014,510768
11/3/2014,617200
11/6/2014,672672
11/10/2014,800094
11/13/2014,874269
11/17/2014,416406
11/20/2014,433347
11/24/2014,486254
11/27/2014,446917
12/1/2014,621825
12/4/2014,692343
12/8/2014,429855
12/11/2014,437466
12/15/2014,425291
12/18/2014,416381
