draw_date,n1,n2,n3,n4,n5,n6,prize_4_1,prize_4_0,prize_3_1,prize_3_0
10/4/2010,1,10,23,26,27,1,125,31,12,5
10/6/2010,3,7,8,21,29,5,123,24,9,4
10/8/2010,5,18,19,22,23,3,93,27,9,5
10/11/2010,9,25,26,31,35,1,73,32,12,5
10/13/2010,1,6,10,15,21,1,78,19,11,5
10/15/2010,1,2,4,26,35,4,180,32,11,5
10/18/2010,23,24,29,30,35,2,123,24,11,5
10/20/2010,1,2,11,30,31,3,120,22,10,5
10/22/2010,2,3,12,13,28,5,158,31,9,5
10/25/2010,6,11,15,20,32,4,134,28,10,5
10/27/2010,3,4,5,24,31,1,240,18,11,4
10/29/2010,7,14,17,25,29,1,92,15,11,4
11/1/2010,10,14,29,31,32,2,161,43,11,5
11/3/2010,6,12,26,27,31,5,152,31,10,5
11/5/2010,10,14,15,21,29,5,113,27,11,5
11/8/2010,2,8,10,12,28,2,87,19,9,4
11/10/2010,9,19,23,30,32,4,120,26,9,5
11/12/2010,6,11,19,25,32,3,117,27,9,5
11/15/2010,5,11,12,17,35,2,129,22,10,4
11/17/2010,1,3,26,30,35,5,148,27,9,5
11/19/2010,4,15,18,24,33,1,99,29,11,5
11/22/2010,15,19,25,28,35,3,104,24,9,5
11/24/2010,17,18,22,25,34,2,83,29,12,5
11/26/2010,22,23,27,29,31,3,74,25,11,5
11/29/2010,3,4,17,21,30,2,105,25,10,5
12/1/2010,2,10,16,18,20,2,98,23,10,4
12/3/2010,3,21,23,29,34,1,123,32,11,5
12/6/2010,8,11,17,20,31,2,108,22,11,4
12/8/2010,1,7,17,22,27,3,61,17,8,5
12/10/2010,3,11,22,28,34,2,81,20,11,5
12/13/2010,15,19,26,27,29,3,103,27,9,5
12/15/2010,13,14,17,23,31,4,117,36,10,4
12/17/2010,15,21,23,32,35,4,63,40,11,5
12/20/2010,2,3,6,20,23,4,105,31,10,4
12/22/2010,12,13,19,22,31,4,107,25,10,4
12/24/2010,3,10,14,19,25,3,60,31,9,5
12/27/2010,8,15,18,22,26,1,119,24,11,5
12/29/2010,6,14,29,31,32,5,84,23,11,5
12/31/2010,11,20,24,34,35,2,101,28,10,5
1/3/2011,2,12,20,31,33,4,157,34,10,5
1/5/2011,4,7,25,27,28,3,138,35,8,5
1/7/2011,14,21,31,34,35,3,108,49,9,5
1/10/2011,5,7,22,25,33,1,275,25,11,4
1/12/2011,4,8,13,16,33,5,138,29,9,5
1/14/2011,21,23,26,27,35,3,117,31,10,5
1/17/2011,5,9,16,29,35,5,120,25,9,5
1/19/2011,4,16,17,24,32,1,146,31,10,5
1/21/2011,3,8,15,20,32,4,139,36,11,5
1/24/2011,1,10,15,19,35,5,97,23,9,4
1/26/2011,6,7,11,30,31,3,96,24,8,5
1/28/2011,3,14,17,27,34,4,108,19,9,4
1/31/2011,7,14,17,22,27,4,64,17,8,4
2/2/2011,2,9,17,34,35,3,94,28,9,5
2/4/2011,15,18,23,29,32,4,133,21,10,5
2/7/2011,5,11,12,13,26,1,127,23,10,4
2/9/2011,4,14,30,31,32,3,116,27,10,5
2/11/2011,5,6,12,13,22,3,92,25,9,5
2/14/2011,1,10,25,33,35,1,94,24,10,5
2/16/2011,4,9,10,20,33,1,157,24,11,5
2/18/2011,1,7,10,16,24,2,96,25,9,5
2/21/2011,1,11,16,18,30,1,153,25,11,5
2/23/2011,9,11,14,28,33,2,127,23,9,4
2/25/2011,1,6,15,25,28,1,88,29,11,5
2/28/2011,7,10,17,22,34,5,125,22,10,4
3/2/2011,2,9,22,27,29,1,105,21,10,4
3/4/2011,10,20,22,25,33,1,77,29,10,5
3/7/2011,3,11,12,24,31,5,106,21,9,4
3/9/2011,1,2,4,10,26,1,80,20,9,4
3/11/2011,11,20,23,28,29,4,107,22,9,5
3/14/2011,2,20,24,25,29,4,196,29,10,5
3/16/2011,5,10,17,31,34,1,89,30,11,5
3/18/2011,2,4,5,15,26,1,94,29,11,5
3/21/2011,5,18,22,28,35,3,126,28,9,5
3/23/2011,4,7,9,12,24,2,51,20,8,4
3/25/2011,1,4,19,20,22,5,140,29,10,5
3/28/2011,4,8,13,15,23,5,90,19,10,4
3/30/2011,15,21,23,27,28,1,166,25,11,5
4/1/2011,2,3,21,26,28,1,146,28,11,5
4/4/2011,7,9,21,27,32,5,96,24,9,4
4/6/2011,8,16,17,18,27,4,223,28,10,5
4/8/2011,14,18,24,26,31,5,79,28,10,5
4/11/2011,12,23,24,29,30,4,75,27,9,4
4/13/2011,5,20,25,26,31,5,131,22,9,5
4/15/2011,7,10,12,16,26,2,181,26,9,5
4/18/2011,1,23,28,29,31,1,132,30,10,5
4/20/2011,1,5,16,18,24,2,121,24,11,5
4/22/2011,12,18,20,21,27,5,82,22,10,5
4/25/2011,6,15,17,18,30,5,187,27,10,4
4/27/2011,7,8,21,25,27,1,112,22,10,4
4/29/2011,11,19,25,32,35,3,86,28,9,5
5/2/2011,12,15,16,32,35,2,130,32,10,5
5/4/2011,6,9,11,21,34,3,136,30,10,5
5/6/2011,2,21,25,26,29,1,102,31,11,5
5/9/2011,11,13,22,24,26,2,107,19,11,4
5/11/2011,5,11,18,23,29,3,83,22,7,4
5/13/2011,9,11,14,16,25,4,115,22,9,4
5/16/2011,2,4,9,32,35,3,128,31,10,5
5/18/2011,5,10,12,22,23,4,95,26,9,4
5/20/2011,2,7,10,18,28,2,83,15,8,4
5/23/2011,6,18,23,25,28,5,104,28,9,5
5/25/2011,2,6,28,33,34,3,174,40,10,6
5/27/2011,11,14,23,24,29,2,131,20,11,4
5/30/2011,11,13,14,18,32,1,81,28,11,5
6/1/2011,10,25,28,33,35,3,72,33,10,5
6/3/2011,1,13,23,26,34,4,99,32,10,5
6/6/2011,9,14,19,27,30,3,119,22,9,5
6/8/2011,9,11,17,21,29,1,110,18,9,4
6/10/2011,8,14,19,24,30,4,90,25,9,5
6/13/2011,10,22,23,27,32,1,99,25,11,5
6/15/2011,3,13,25,27,30,2,133,26,11,5
6/17/2011,7,13,14,18,25,5,102,22,9,5
6/20/2011,4,8,13,19,29,4,58,22,8,4
6/22/2011,5,8,11,18,25,3,72,19,7,4
6/24/2011,14,18,21,27,35,3,99,23,8,5
6/27/2011,4,17,24,27,34,5,198,17,11,5
6/29/2011,7,9,19,28,33,4,90,26,9,4
7/1/2011,15,24,26,27,30,5,133,34,10,5
7/4/2011,8,9,13,31,35,4,100,29,10,5
7/6/2011,5,9,14,19,23,1,124,22,10,4
7/8/2011,2,4,9,25,27,1,122,22,11,5
7/11/2011,13,14,23,26,32,4,79,24,9,5
7/13/2011,9,14,15,20,33,4,91,35,11,5
7/15/2011,8,9,11,31,34,2,113,26,9,5
7/18/2011,8,13,17,18,22,4,85,20,9,4
7/20/2011,2,18,24,28,34,1,105,18,11,4
7/22/2011,6,9,18,19,30,4,189,27,10,4
7/25/2011,4,13,14,19,33,5,157,23,10,5
7/27/2011,1,17,23,25,34,5,175,41,11,5
7/29/2011,1,4,28,31,32,4,169,35,12,6
8/1/2011,12,15,25,28,31,4,86,26,11,5
8/3/2011,15,24,26,30,34,3,97,26,10,5
8/5/2011,13,23,25,30,35,4,85,27,12,5
8/8/2011,9,14,16,17,20,5,125,23,10,5
8/10/2011,8,19,28,32,35,4,86,21,10,5
8/12/2011,4,6,20,24,31,1,106,26,11,5
8/15/2011,3,9,20,27,28,3,81,34,8,5
8/17/2011,8,20,27,29,32,1,86,28,11,5
8/19/2011,2,15,26,29,34,1,139,29,12,5
8/22/2011,4,21,27,31,35,3,186,20,9,5
8/24/2011,8,10,23,25,29,2,217,22,9,4
8/26/2011,10,14,18,28,32,1,141,23,12,5
8/29/2011,2,5,23,26,30,2,109,17,9,5
8/31/2011,2,5,19,20,25,5,129,41,8,5
9/2/2011,8,9,30,32,33,4,180,29,10,5
9/5/2011,11,13,14,23,32,4,104,21,9,4
9/7/2011,4,8,26,27,29,5,146,23,11,4
9/9/2011,8,11,13,23,26,5,80,22,8,4
9/12/2011,2,7,10,12,20,5,69,17,9,4
9/14/2011,3,5,10,21,27,2,95,20,10,5
9/16/2011,4,9,10,17,28,4,86,25,9,4
9/19/2011,12,19,25,31,34,1,94,22,10,5
9/21/2011,9,10,11,24,29,1,106,31,10,4
9/23/2011,17,18,28,32,35,2,120,27,12,5
9/26/2011,4,13,17,26,34,1,112,19,12,4
9/28/2011,1,3,10,15,23,1,163,27,9,5
9/30/2011,14,16,23,24,35,2,105,30,10,5
10/3/2011,5,23,31,32,33,2,196,30,11,5
10/5/2011,1,11,13,18,25,3,124,27,8,4
10/7/2011,8,12,13,19,27,3,67,21,8,4
10/10/2011,2,3,5,26,32,4,139,25,11,5
10/12/2011,10,12,16,26,34,1,126,21,11,5
10/14/2011,11,12,15,30,31,3,101,34,9,5
10/17/2011,13,20,28,33,35,3,143,21,10,5
10/19/2011,4,10,16,28,33,4,77,29,10,5
10/21/2011,2,9,14,31,33,4,96,35,10,5
10/24/2011,4,10,11,17,22,5,76,17,8,4
10/26/2011,5,9,20,24,30,5,94,32,9,5
10/28/2011,5,7,24,25,35,4,118,31,12,5
10/31/2011,7,14,15,16,35,1,97,35,11,5
11/2/2011,1,10,23,27,34,3,133,20,8,5
11/4/2011,10,13,15,22,33,5,118,20,10,5
11/7/2011,1,15,24,26,33,3,270,24,11,5
11/9/2011,4,5,13,24,28,4,111,25,9,5
11/11/2011,4,5,9,12,29,4,79,22,10,4
11/14/2011,2,13,25,33,34,3,162,29,9,5
11/16/2011,2,6,10,15,29,5,116,19,10,4
11/18/2011,5,13,20,26,29,1,120,24,11,5
11/21/2011,3,11,20,26,34,1,242,28,11,5
11/23/2011,20,23,24,26,28,3,119,32,10,5
11/25/2011,2,5,13,25,26,2,138,17,9,4
11/28/2011,16,17,18,26,29,1,206,25,10,5
11/30/2011,3,14,17,25,31,4,78,24,10,4
12/2/2011,1,9,12,16,19,2,145,22,10,4
12/5/2011,10,15,22,34,35,1,149,23,10,5
12/7/2011,7,11,24,26,34,4,97,24,10,4
12/9/2011,1,16,21,27,35,1,119,33,11,5
12/12/2011,8,24,28,32,34,1,129,23,11,5
12/14/2011,12,13,14,20,33,3,110,27,9,5
12/16/2011,8,11,24,27,35,2,171,24,10,4
12/19/2011,2,11,12,15,35,4,72,25,9,4
12/21/2011,4,18,24,27,32,2,155,23,9,4
12/23/2011,2,3,11,15,29,4,108,27,10,5
