draw_date,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
1/2/2012,14,18,21,24,30,27711,154,11
1/3/2012,7,16,21,26,29,0,401,10
1/4/2012,1,6,19,33,36,12886,174,11
1/5/2012,2,16,22,24,29,8446,132,11
1/6/2012,14,27,28,29,37,26867,146,10
1/7/2012,12,13,17,24,34,0,442,10
1/9/2012,7,11,25,31,37,25373,100,8
1/10/2012,6,7,11,32,35,0,540,10
1/11/2012,2,14,17,18,34,0,478,11
1/12/2012,11,13,20,23,28,0,440,9
1/13/2012,2,9,27,28,30,27319,154,10
1/14/2012,18,25,28,29,32,0,547,11
1/16/2012,2,7,8,24,36,26484,153,10
1/17/2012,1,18,25,28,37,0,395,10
1/18/2012,1,14,17,21,35,24604,144,11
1/19/2012,9,10,12,29,37,0,430,9
1/20/2012,9,11,14,26,32,0,482,10
1/21/2012,1,4,5,20,35,25978,126,11
1/23/2012,4,11,24,36,37,0,517,10
1/24/2012,6,23,25,27,31,0,398,11
1/25/2012,4,6,16,19,30,0,423,11
1/26/2012,16,20,24,30,31,25763,171,11
1/27/2012,6,13,17,23,32,0,403,10
1/28/2012,1,3,14,15,25,24591,115,10
1/30/2012,2,19,20,21,23,0,479,10
1/31/2012,7,8,14,29,36,0,596,11
2/1/2012,3,4,16,26,32,0,601,12
2/2/2012,16,18,24,30,34,0,521,11
2/3/2012,14,20,23,34,35,28435,147,12
2/4/2012,14,24,25,30,37,27266,157,11
2/6/2012,8,10,16,18,37,13464,132,10
2/7/2012,2,12,18,19,35,0,442,10
2/8/2012,6,8,18,25,30,0,491,9
2/9/2012,14,20,23,25,32,25784,155,11
2/10/2012,8,14,16,26,31,0,512,11
2/11/2012,7,11,12,23,24,7898,108,8
2/13/2012,2,7,15,22,35,0,398,10
2/14/2012,4,21,24,36,37,0,537,11
2/15/2012,1,7,10,33,37,0,430,9
2/16/2012,3,11,21,23,24,0,337,8
2/17/2012,3,17,29,32,37,26053,142,10
2/18/2012,4,5,8,22,36,12695,161,10
2/20/2012,3,18,25,26,35,0,442,11
2/21/2012,2,4,10,26,37,0,447,9
2/22/2012,5,12,19,35,36,23899,186,10
2/23/2012,2,25,26,33,34,0,562,11
2/24/2012,9,20,26,34,35,0,593,13
2/25/2012,10,16,24,29,36,0,457,11
2/27/2012,7,14,16,18,19,0,391,9
2/28/2012,1,3,4,9,13,0,270,8
2/29/2012,4,10,16,20,34,0,423,10
3/1/2012,21,22,27,32,33,26645,160,12
3/2/2012,8,9,15,23,32,0,559,10
3/3/2012,9,27,28,34,36,0,537,12
3/5/2012,1,8,11,27,31,26974,111,9
3/6/2012,3,5,9,13,23,0,232,7
3/7/2012,5,6,7,10,36,0,416,9
3/8/2012,2,21,23,32,34,25178,124,10
3/9/2012,7,8,10,11,12,7167,83,7
3/10/2012,9,11,18,20,36,0,572,10
3/12/2012,1,12,22,28,34,0,472,11
3/13/2012,3,18,29,32,35,12065,139,12
3/14/2012,17,25,27,29,30,11636,108,9
3/15/2012,7,19,26,27,29,0,356,9
3/16/2012,7,10,12,18,29,11673,93,8
3/17/2012,7,13,15,16,19,0,450,9
3/19/2012,3,9,14,15,20,12464,138,10
3/20/2012,4,23,32,33,34,0,466,11
3/21/2012,1,11,17,35,37,22279,121,8
3/22/2012,13,15,16,27,35,0,621,12
3/23/2012,1,7,8,21,29,22786,102,8
3/24/2012,5,21,22,29,35,0,517,11
3/26/2012,12,15,16,25,30,0,596,10
3/27/2012,3,8,18,22,33,0,319,10
3/28/2012,3,9,21,22,23,0,324,8
3/29/2012,7,10,21,22,24,21786,117,9
3/30/2012,2,3,7,15,18,0,384,8
3/31/2012,2,15,20,22,26,0,709,11
4/2/2012,4,8,15,22,31,25884,144,10
4/3/2012,3,5,16,24,27,0,454,10
4/4/2012,6,10,15,29,30,0,467,10
4/5/2012,5,9,22,28,29,0,381,9
4/6/2012,11,12,13,16,29,0,368,9
4/7/2012,10,24,25,28,36,0,676,12
4/9/2012,2,6,9,13,25,0,352,9
4/10/2012,6,8,23,27,29,0,387,10
4/11/2012,1,8,16,29,32,24035,170,11
4/12/2012,1,8,13,31,32,0,520,11
4/13/2012,5,14,21,27,36,0,483,12
4/14/2012,5,24,25,26,30,0,475,11
4/16/2012,1,27,28,29,37,12557,133,9
4/17/2012,13,25,31,36,37,24211,174,12
4/18/2012,13,14,28,33,37,23512,182,10
4/19/2012,21,26,29,32,37,24034,117,11
4/20/2012,3,6,7,16,18,23130,116,8
4/21/2012,6,10,13,17,28,0,379,9
4/23/2012,5,10,18,34,36,24998,159,12
4/24/2012,5,10,20,28,30,0,289,9
4/25/2012,11,14,15,25,36,0,554,12
4/26/2012,19,24,32,33,36,0,498,12
4/27/2012,2,4,7,13,36,0,429,9
4/28/2012,4,15,24,35,37,24528,154,12
4/30/2012,4,7,35,36,37,23988,98,8
5/1/2012,12,28,33,34,36,0,517,11
5/2/2012,1,21,22,25,34,24401,174,12
5/3/2012,5,13,27,31,37,23683,140,10
5/4/2012,3,13,26,29,34,0,481,10
5/5/2012,6,8,20,24,35,0,506,11
5/7/2012,20,24,27,30,33,8581,171,12
5/8/2012,3,4,10,15,25,0,405,8
5/9/2012,3,9,12,25,27,0,316,8
5/10/2012,6,10,11,32,33,11684,162,12
5/11/2012,1,14,25,29,30,25746,178,12
5/12/2012,1,14,15,29,36,0,551,13
5/14/2012,1,3,4,15,24,23283,118,8
5/15/2012,6,9,10,15,32,0,473,10
5/16/2012,4,6,17,20,26,0,380,11
5/17/2012,11,16,30,32,35,0,908,13
5/18/2012,4,6,10,14,30,23955,108,9
5/19/2012,5,6,7,19,22,22050,107,8
5/21/2012,3,6,29,32,36,0,643,11
5/22/2012,4,8,15,25,26,21365,109,10
5/23/2012,7,10,26,32,33,22228,179,11
5/24/2012,3,9,11,22,33,21541,89,9
5/25/2012,1,12,20,32,37,0,473,11
5/26/2012,3,6,15,20,23,22226,119,10
5/28/2012,5,20,22,29,34,0,440,11
5/29/2012,2,5,8,17,22,19424,96,8
5/30/2012,4,7,15,31,36,20932,160,11
5/31/2012,14,16,26,27,29,0,483,11
6/1/2012,8,10,23,26,33,0,452,10
6/2/2012,2,10,13,22,29,23299,106,10
6/4/2012,8,13,21,24,32,24094,122,10
6/5/2012,2,19,25,31,37,0,666,11
6/6/2012,18,19,29,34,35,0,398,11
6/7/2012,21,27,29,33,34,11421,85,10
6/8/2012,2,3,14,19,20,23417,121,10
6/9/2012,10,11,13,17,23,0,384,8
6/11/2012,2,17,20,32,34,0,481,12
6/12/2012,9,13,16,19,33,0,445,10
6/13/2012,2,23,27,29,35,7203,159,10
6/14/2012,18,21,27,28,32,0,454,11
6/15/2012,1,9,14,21,24,0,463,9
6/16/2012,5,6,17,19,31,22638,155,10
6/18/2012,11,13,22,26,27,0,501,10
6/19/2012,1,7,19,28,37,0,345,10
6/20/2012,7,10,20,24,35,0,552,10
6/21/2012,20,22,25,33,35,22723,140,12
6/22/2012,10,11,22,25,29,0,426,9
6/23/2012,1,4,15,34,35,0,831,12
6/25/2012,5,8,17,23,29,10869,107,8
6/26/2012,12,18,26,36,37,0,476,11
6/27/2012,5,16,20,21,37,0,475,11
6/28/2012,14,17,24,25,36,0,484,11
6/29/2012,10,11,24,27,35,0,490,10
6/30/2012,16,18,20,23,26,0,573,11
7/2/2012,1,9,19,23,27,23239,129,9
7/3/2012,13,15,19,28,30,0,457,11
7/4/2012,3,14,16,28,36,0,612,12
7/5/2012,1,8,13,31,36,0,490,12
7/6/2012,23,24,27,31,35,0,589,11
7/7/2012,4,9,11,21,22,22058,94,8
7/9/2012,9,11,21,25,34,0,443,10
7/10/2012,10,15,30,34,35,0,628,10
7/11/2012,12,14,21,24,29,20896,107,10
7/12/2012,8,9,19,32,34,21686,184,11
7/13/2012,2,20,21,33,36,24765,186,11
7/14/2012,2,5,16,24,25,0,484,10
7/16/2012,11,26,28,33,37,0,420,10
7/17/2012,2,22,26,27,32,0,621,12
7/18/2012,18,20,23,27,34,0,468,11
7/19/2012,13,15,16,17,30,0,375,11
7/20/2012,4,7,26,27,32,11520,190,10
7/21/2012,2,8,9,12,36,0,441,9
7/23/2012,2,4,6,23,33,22207,139,9
7/24/2012,8,11,21,24,37,9619,117,9
7/25/2012,9,17,20,27,36,21176,115,11
7/26/2012,3,10,25,26,28,0,338,9
7/27/2012,3,8,11,16,20,21638,108,9
7/28/2012,3,6,9,11,14,20867,84,7
7/30/2012,5,6,16,32,37,11536,200,12
7/31/2012,5,6,16,18,33,21292,133,10
8/1/2012,8,13,30,31,36,0,431,12
8/2/2012,5,8,9,11,12,9482,75,6
8/3/2012,3,20,27,29,36,0,507,12
8/4/2012,7,11,18,23,27,0,270,7
8/6/2012,3,7,17,24,28,21552,91,8
8/7/2012,8,9,13,19,29,0,340,8
8/8/2012,2,24,28,33,36,0,646,12
8/9/2012,10,11,17,18,32,0,493,10
8/10/2012,3,14,15,24,28,22700,134,10
8/11/2012,3,4,12,18,36,0,428,11
8/13/2012,5,7,12,25,37,20569,100,8
8/14/2012,10,15,19,31,33,0,613,11
8/15/2012,21,26,27,28,29,7500,64,10
8/16/2012,6,8,28,33,37,0,451,11
8/17/2012,5,6,22,24,35,22876,163,11
8/18/2012,9,11,16,26,33,22599,142,10
8/20/2012,7,18,19,33,36,22666,126,11
8/21/2012,1,3,14,29,36,0,587,11
8/22/2012,1,4,7,8,15,19227,77,8
8/23/2012,2,21,27,29,33,0,263,9
8/24/2012,1,7,21,26,30,0,486,10
8/25/2012,2,5,6,27,35,0,529,10
8/27/2012,3,6,10,28,36,0,437,10
8/28/2012,14,19,22,26,29,0,534,11
8/29/2012,3,9,10,32,35,0,494,10
8/30/2012,3,7,17,19,27,0,259,7
8/31/2012,1,5,17,19,21,22801,100,9
9/1/2012,11,18,19,33,36,0,569,11
9/3/2012,6,7,19,22,24,0,425,9
9/4/2012,4,6,14,16,33,21521,138,11
9/5/2012,2,20,22,30,33,22474,156,12
9/6/2012,6,29,32,33,35,0,491,11
9/7/2012,5,9,20,30,32,0,495,11
9/8/2012,5,7,8,16,37,20577,134,8
9/10/2012,1,21,29,35,36,0,609,12
9/11/2012,16,17,18,24,34,6854,132,11
9/12/2012,5,15,16,22,29,0,449,10
9/13/2012,17,21,23,26,29,19726,143,9
9/14/2012,1,6,8,14,25,0,422,9
9/15/2012,1,3,7,21,26,0,371,8
9/17/2012,2,6,20,25,33,0,458,11
9/18/2012,1,19,33,34,35,0,440,11
9/19/2012,8,13,16,33,37,0,475,10
9/20/2012,2,4,9,15,36,0,515,11
9/21/2012,4,21,23,24,31,0,626,10
9/22/2012,8,9,23,33,35,0,488,11
9/24/2012,13,18,32,33,34,0,465,10
9/25/2012,7,12,25,32,37,0,403,10
9/26/2012,5,19,30,31,34,0,441,11
9/27/2012,8,11,16,17,35,18968,199,11
9/28/2012,6,14,18,19,20,0,374,10
9/29/2012,11,14,19,25,32,21020,160,12
10/1/2012,3,15,20,28,36,0,500,11
10/2/2012,16,30,32,36,37,0,397,12
10/3/2012,1,3,12,16,22,19392,123,10
10/4/2012,3,11,12,16,35,0,491,10
10/5/2012,2,14,29,31,32,0,576,12
10/6/2012,2,8,17,20,22,0,363,9
10/8/2012,2,9,16,29,32,20034,103,11
10/9/2012,7,17,26,30,34,0,414,10
10/10/2012,1,11,19,20,26,19246,139,10
10/11/2012,3,4,18,23,31,9740,160,10
10/12/2012,16,17,21,27,37,0,479,10
10/13/2012,6,11,12,15,24,0,368,8
10/15/2012,3,11,12,14,28,9561,154,9
10/16/2012,7,10,15,19,24,0,481,8
10/17/2012,12,14,20,23,24,0,534,10
10/18/2012,4,11,14,16,33,0,550,10
10/19/2012,12,17,19,21,36,0,539,11
10/20/2012,3,16,31,33,35,0,562,11
10/22/2012,4,10,20,30,34,10648,120,10
10/23/2012,4,8,20,22,32,0,572,10
10/24/2012,10,12,19,23,27,0,315,8
10/25/2012,7,22,23,25,34,0,513,11
10/26/2012,3,18,22,30,37,20416,170,11
10/27/2012,1,2,11,15,37,0,450,10
10/29/2012,3,23,24,29,30,9647,164,11
10/30/2012,18,21,29,35,36,0,614,12
10/31/2012,1,7,8,23,34,0,378,9
11/1/2012,8,10,20,32,34,9910,133,12
11/2/2012,9,10,16,20,21,0,367,9
11/3/2012,2,5,28,31,33,0,475,11
11/5/2012,4,11,12,15,26,20214,130,10
11/6/2012,4,9,13,21,23,18103,138,8
11/7/2012,5,10,12,23,31,18188,100,9
11/8/2012,1,11,13,16,20,0,463,10
11/9/2012,6,24,28,32,36,0,348,11
11/10/2012,4,8,19,20,33,0,469,10
11/12/2012,2,26,27,33,35,10094,179,12
11/13/2012,8,18,21,24,27,0,417,9
11/14/2012,3,5,11,25,32,0,408,9
11/15/2012,2,3,4,13,19,0,435,8
11/16/2012,16,22,32,33,35,21523,190,11
11/17/2012,10,22,28,29,32,0,647,11
11/19/2012,8,11,16,17,24,6326,114,9
11/20/2012,7,10,16,22,27,0,336,9
11/21/2012,13,16,25,31,32,0,674,12
11/22/2012,2,9,14,24,34,0,372,9
11/23/2012,3,13,27,34,37,0,412,9
11/24/2012,1,2,4,8,34,19955,108,9
11/26/2012,1,9,17,25,33,0,414,10
11/27/2012,3,9,28,34,37,0,457,10
11/28/2012,1,18,25,30,31,20977,206,13
11/29/2012,5,18,27,29,35,0,548,10
11/30/2012,10,21,25,32,34,0,611,12
12/1/2012,8,12,28,31,36,11211,160,10
12/3/2012,6,12,14,29,37,21825,149,10
12/4/2012,2,16,24,36,37,0,529,11
12/5/2012,1,2,19,22,32,0,632,11
12/6/2012,4,16,23,26,33,20504,162,10
