draw_date,n1,n2,n3,n4,n5,prize_4_1,prize_4_0,prize_3_1,prize_3_0,prize_2_1
1/4/2010,2,9,19,32,34,0,1196,70,21,23
1/7/2010,17,22,28,32,15,0,3669,54,21,22
1/11/2010,17,22,26,27,11,675000,1344,42,21,17
1/14/2010,2,16,22,26,21,200000,1571,58,22,20
1/18/2010,6,7,22,31,34,0,1303,46,22,23
1/21/2010,3,5,12,17,16,0,1251,62,14,20
1/25/2010,4,5,15,30,31,275000,1667,51,21,22
1/28/2010,7,11,16,29,8,0,1528,42,18,19
2/1/2010,7,12,18,29,3,225000,1096,56,18,21
2/4/2010,10,19,28,32,3,0,2096,53,20,20
2/8/2010,16,18,27,31,35,225000,1169,72,20,22
2/11/2010,12,13,15,32,18,0,4751,58,22,20
2/15/2010,4,20,28,32,14,0,1503,41,22,22
2/18/2010,6,12,23,26,35,0,1403,44,20,21
2/22/2010,1,2,20,30,26,0,1563,50,22,21
2/25/2010,2,20,22,25,4,0,1369,60,19,22
3/1/2010,7,11,19,26,11,600000,1001,29,16,15
3/4/2010,1,23,29,35,31,0,2749,84,19,23
3/8/2010,5,9,17,34,5,0,3614,37,19,19
3/11/2010,18,20,22,31,16,275000,1259,58,22,22
3/15/2010,9,12,13,23,30,0,5093,50,17,20
3/18/2010,20,24,32,34,14,0,955,56,22,22
3/22/2010,6,16,28,31,32,0,915,74,23,22
3/25/2010,21,22,23,31,14,0,1229,58,22,22
3/29/2010,3,24,30,32,35,0,2297,51,20,23
4/1/2010,14,15,30,31,19,0,1969,60,23,22
4/5/2010,15,21,24,32,11,0,1438,44,21,18
4/8/2010,15,24,30,32,25,925000,684,60,19,21
4/12/2010,6,13,15,17,11,0,1523,51,21,18
4/15/2010,12,14,15,28,22,225000,1557,66,21,20
4/19/2010,10,25,30,35,24,0,1176,54,20,26
4/22/2010,18,24,26,29,8,0,1796,63,22,22
4/26/2010,10,17,25,31,3,0,941,53,18,21
4/29/2010,6,11,12,20,18,0,1576,44,19,17
5/3/2010,14,18,22,35,27,0,1371,42,21,22
5/6/2010,7,18,19,20,15,0,1143,43,20,22
5/10/2010,6,12,15,18,10,0,1610,68,18,19
5/13/2010,9,19,25,29,8,0,811,43,18,21
5/17/2010,7,9,23,30,9,0,1153,40,20,18
5/20/2010,3,8,15,35,21,0,2008,51,20,19
5/24/2010,8,10,12,16,9,0,1050,39,18,19
5/27/2010,2,3,15,34,17,1800000,1651,65,23,18
5/31/2010,19,22,23,35,16,0,2506,42,22,24
6/3/2010,16,20,22,25,31,0,794,63,20,22
6/7/2010,19,25,31,32,32,0,1106,57,20,21
6/10/2010,7,18,24,25,35,0,1247,65,19,19
6/14/2010,4,6,30,34,16,0,893,56,21,23
6/17/2010,16,26,29,34,30,0,1271,52,23,21
6/21/2010,11,25,26,35,3,0,4589,70,21,22
6/24/2010,5,18,30,33,15,1000000,1087,76,22,21
6/28/2010,11,20,25,27,6,0,1853,76,20,22
7/1/2010,3,16,26,35,27,0,1984,48,21,21
7/5/2010,2,9,14,21,21,0,1427,48,18,18
7/8/2010,18,19,21,30,11,0,1717,43,21,18
7/12/2010,4,8,20,31,19,0,2173,49,20,21
7/15/2010,1,13,23,25,10,675000,1846,58,21,20
7/19/2010,21,22,23,27,8,0,1108,36,20,20
7/22/2010,4,6,22,33,12,0,1924,48,21,21
7/26/2010,8,14,22,35,7,0,1505,59,21,19
7/29/2010,2,19,30,33,2,0,1361,43,22,22
8/2/2010,10,13,30,32,24,0,5112,52,23,21
8/5/2010,9,18,19,33,7,675000,3382,52,19,18
8/9/2010,6,29,30,31,17,200000,1392,45,22,19
8/12/2010,5,7,31,32,31,0,3629,64,21,22
8/16/2010,13,21,23,24,11,0,2827,46,20,17
8/19/2010,11,14,16,20,32,275000,2004,47,22,21
8/23/2010,4,18,25,31,2,0,2124,50,20,21
8/26/2010,9,10,20,30,4,0,2208,39,18,19
8/30/2010,7,16,33,35,27,0,1308,96,22,22
9/2/2010,8,9,11,31,18,375000,3351,58,19,17
9/6/2010,7,17,27,28,4,0,492,45,15,19
9/9/2010,16,22,34,35,20,0,1273,52,23,20
9/13/2010,10,13,15,25,6,275000,1169,59,19,21
9/16/2010,12,19,22,28,32,0,2128,45,22,21
9/20/2010,4,28,29,34,22,225000,1367,58,22,25
9/23/2010,8,20,26,33,11,0,1775,39,23,21
9/27/2010,1,11,16,23,9,0,834,51,20,19
9/30/2010,11,19,30,33,3,0,1063,53,20,19
10/4/2010,10,11,21,25,9,0,1882,43,18,18
10/7/2010,2,15,21,32,24,0,1238,65,21,22
10/11/2010,5,20,22,23,1,650000,1155,56,22,21
10/14/2010,3,5,6,32,6,0,973,44,20,21
10/18/2010,15,16,21,30,25,0,2766,64,21,20
10/21/2010,16,22,30,32,5,0,2934,65,23,22
10/25/2010,2,5,16,30,33,375000,1852,47,22,20
10/28/2010,5,9,25,33,5,0,1733,37,20,19
11/1/2010,5,12,17,35,25,0,1392,55,21,17
11/4/2010,8,29,30,32,10,0,2340,65,21,20
11/8/2010,2,17,22,30,19,0,2635,38,20,21
11/11/2010,4,5,22,23,21,500000,1932,70,22,21
11/15/2010,3,19,31,34,8,0,1363,49,22,22
11/18/2010,2,12,13,14,31,0,1402,60,20,22
11/22/2010,1,9,11,32,21,0,1078,34,21,18
11/25/2010,5,11,29,30,35,0,5397,41,20,21
11/29/2010,3,5,10,35,22,0,2458,58,21,22
12/2/2010,2,13,28,32,10,0,1708,67,22,20
12/6/2010,13,21,34,35,20,0,1984,73,22,22
12/9/2010,1,6,20,22,3,0,1829,51,21,20
12/13/2010,8,13,23,30,35,1200000,1471,66,21,21
12/16/2010,12,27,30,32,21,0,2309,57,21,21
12/20/2010,3,27,31,33,2,0,1694,66,20,23
12/23/2010,20,21,25,26,17,275000,1842,68,23,20
12/27/2010,7,15,27,34,21,0,566,53,19,20
12/30/2010,4,7,20,31,3,225000,1674,41,20,21
1/3/2011,4,6,9,34,32,200000,2223,47,18,22
1/6/2011,27,29,33,34,31,200000,2297,74,24,23
1/10/2011,8,22,27,28,20,0,1576,56,21,22
1/13/2011,2,8,28,31,23,0,1653,50,21,21
1/17/2011,2,23,34,35,33,0,5974,51,22,22
1/20/2011,10,13,14,22,12,400000,1276,44,20,19
1/24/2011,7,17,24,28,35,200000,1107,44,19,17
1/27/2011,13,19,25,29,12,200000,2755,67,20,21
1/31/2011,4,12,17,18,22,0,1460,55,18,20
2/3/2011,19,23,30,32,10,0,1388,40,20,21
2/7/2011,3,9,13,28,14,0,2069,52,18,22
2/10/2011,14,17,19,35,21,0,1995,57,21,19
2/14/2011,1,9,14,23,13,525000,1389,36,21,19
2/17/2011,12,13,16,18,13,200000,1430,73,21,18
2/21/2011,8,22,27,29,26,0,1867,47,20,20
2/24/2011,7,8,14,22,29,0,1649,42,18,17
2/28/2011,23,29,30,34,25,0,3161,81,24,24
3/3/2011,13,16,21,22,28,400000,1138,49,22,19
3/7/2011,1,7,12,34,30,0,1941,62,21,21
3/10/2011,6,9,32,34,17,0,3883,46,24,19
3/14/2011,11,20,23,31,20,300000,1395,64,21,18
3/17/2011,5,16,23,29,26,0,1836,56,21,22
3/21/2011,12,25,28,34,24,0,5690,82,21,23
3/24/2011,10,11,13,18,5,0,1495,44,19,19
3/28/2011,4,16,17,33,12,0,2390,47,21,19
3/31/2011,3,4,9,16,33,525000,893,53,18,20
4/4/2011,1,9,27,32,2,0,1698,70,23,22
4/7/2011,5,13,29,31,21,0,997,77,22,19
4/11/2011,11,12,28,31,7,300000,4386,80,20,17
4/14/2011,1,2,29,34,27,0,1422,77,24,24
4/18/2011,3,11,23,24,10,0,1977,36,19,19
4/21/2011,4,13,25,33,19,0,684,53,20,19
4/25/2011,8,9,12,35,15,425000,2994,51,21,20
4/28/2011,1,9,29,33,24,0,1884,42,22,22
5/2/2011,19,20,21,22,33,0,1320,54,20,21
5/5/2011,3,13,29,33,17,0,1320,38,19,19
5/9/2011,3,6,14,27,30,0,2581,40,19,21
5/12/2011,4,9,10,27,12,0,937,40,19,18
5/16/2011,6,14,16,22,13,0,3547,53,20,20
5/19/2011,14,17,19,26,6,0,2496,47,20,22
5/23/2011,13,29,30,33,17,1200000,1660,32,20,19
5/26/2011,6,8,17,35,11,0,2933,46,22,18
5/30/2011,7,8,31,35,20,0,1071,52,21,19
6/2/2011,4,9,10,16,9,0,1980,39,18,19
6/6/2011,12,15,25,29,33,0,1846,46,21,21
6/9/2011,4,21,27,29,27,0,1561,56,22,21
6/13/2011,8,21,31,32,19,0,2695,50,23,21
6/16/2011,14,23,24,34,4,1000000,1471,39,19,20
6/20/2011,15,16,30,33,18,0,1718,41,23,19
6/23/2011,3,4,6,30,10,0,1388,43,19,18
6/27/2011,12,13,17,28,10,300000,1157,59,20,19
6/30/2011,8,20,21,32,6,0,1322,54,22,23
7/4/2011,7,13,15,16,22,0,1011,71,20,20
7/7/2011,1,5,17,22,25,0,2024,43,20,19
7/11/2011,5,16,29,30,21,450000,1656,47,21,20
7/14/2011,1,11,30,34,25,0,2964,61,23,21
7/18/2011,4,20,27,29,18,0,2485,66,21,20
7/21/2011,11,19,22,31,14,0,1346,50,20,19
7/25/2011,3,6,8,30,21,450000,1583,38,18,16
7/28/2011,3,5,13,21,10,0,1443,37,18,18
8/1/2011,4,12,13,35,31,0,1789,90,23,21
8/4/2011,8,13,15,30,34,0,2704,51,21,22
8/8/2011,4,25,31,32,25,0,4056,59,23,22
8/11/2011,6,8,18,25,4,0,1243,52,19,20
8/15/2011,7,28,29,30,5,775000,1490,53,20,21
8/18/2011,11,12,33,34,16,0,2072,53,23,21
8/22/2011,6,19,24,25,7,225000,1606,36,20,19
8/25/2011,5,8,14,33,24,0,2407,51,20,22
8/29/2011,4,11,16,35,27,0,1404,44,19,18
9/1/2011,6,19,30,33,29,0,1774,38,19,19
9/5/2011,1,3,4,20,5,450000,1234,17,19,20
9/8/2011,10,26,31,32,4,0,3026,40,21,21
9/12/2011,18,22,30,34,15,0,1138,66,22,24
9/15/2011,4,13,19,33,35,0,2284,52,20,20
9/19/2011,1,9,33,34,7,0,1244,43,22,21
9/22/2011,6,13,15,27,25,0,2061,48,20,19
9/26/2011,8,22,23,25,22,800000,1674,47,20,21
9/29/2011,8,15,21,34,7,0,2381,58,23,19
10/3/2011,10,28,30,35,25,0,1853,45,23,20
10/6/2011,1,25,27,33,8,0,1196,55,22,21
10/10/2011,1,6,13,27,30,0,2397,43,18,20
10/13/2011,12,17,33,34,4,0,1285,49,20,21
10/17/2011,1,9,31,34,26,0,2567,59,21,21
10/20/2011,2,16,18,26,19,0,1313,56,20,20
10/24/2011,4,6,9,35,16,0,1855,53,19,21
10/27/2011,3,12,17,29,3,1550000,1418,52,19,19
10/31/2011,1,3,7,24,3,200000,1280,49,16,18
11/3/2011,12,16,19,25,19,0,854,41,20,19
11/7/2011,4,19,25,31,16,225000,1380,58,20,21
11/10/2011,21,26,29,34,34,0,1856,72,24,21
11/14/2011,4,6,11,19,30,0,976,62,17,20
11/17/2011,15,26,29,32,18,0,1383,62,23,21
11/21/2011,5,7,18,25,17,500000,2033,59,19,18
11/24/2011,5,8,11,15,5,0,1317,43,17,17
11/28/2011,9,11,26,30,28,225000,1308,40,21,19
12/1/2011,17,18,20,33,7,0,1837,56,22,20
12/5/2011,5,8,24,28,17,0,1896,38,19,20
12/8/2011,13,18,20,32,24,0,1062,92,22,21
12/12/2011,6,15,26,33,25,0,2215,77,21,19
12/15/2011,8,20,29,30,22,650000,1354,58,21,22
